usuario,ubicacion,total_resenas_usuario,puntuacion,fecha,titulo,texto_comentario,fecha_sistema,texto_para_analisis,texto_limpio,texto_original,texto_sin_stopwords,texto_comentario_limpio,texto_comentario_sin_stopwords,tokens,tokens_sin_stopwords,num_palabras,num_palabras_limpias,longitud_comentario,conteo_palabras_unicas,num_resenas_usuario_total,polarity,subjectivity,sentiment,emocion_predominante,longitud_texto,segmento_usuario
CORTES VARGAS MARIA DEL SOCORR,Desconocida,0,1,2025-12-19T10:17:55.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
JoseMa Ramon Poch,Desconocida,0,1,2025-12-17T19:39:13.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Inma Marin,Desconocida,0,1,2025-12-10T17:36:43.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
José Luis Romero Romero,Desconocida,0,1,2025-12-15T12:27:17.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Antonio,Desconocida,0,3,2025-12-03T02:54:57.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Alicia,Desconocida,0,1,2025-12-13T22:13:21.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Mariluz Aramburu,Desconocida,0,1,2025-12-07T15:32:14.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Al R,Desconocida,0,1,2025-12-02T18:48:33.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
David,Desconocida,0,1,2025-12-09T16:35:13.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Sofía Fondón,Desconocida,0,1,2025-12-12T15:05:04.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Teresa Díaz,Desconocida,0,1,2025-12-09T13:18:01.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Victoria,Desconocida,0,1,2025-11-16T17:50:25.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Women's Sports Photography Jos,Desconocida,0,1,2025-12-11T04:46:10.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
JoseMa Ramon Poch,Desconocida,0,1,2025-12-16T18:20:55.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Dmtryck Again,Desconocida,0,1,2025-12-16T00:16:14.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Consumer,Desconocida,0,1,2025-11-29T09:02:43.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
José manuel Costa Iglesias,Desconocida,0,1,2025-11-27T11:33:06.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Grupo Trabajo,Desconocida,0,1,2025-12-19T14:44:36.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Ald Natural,Desconocida,0,1,2025-12-15T02:32:59.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Pablo Arias-Argüello Pereira,Desconocida,0,1,2025-12-03T20:26:46.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Albert,Desconocida,0,1,2025-12-15T22:49:08.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Sergi Canalís Cobos,Desconocida,0,1,2025-12-11T23:19:27.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
melodia arcos diaz,Desconocida,0,1,2025-12-03T21:52:31.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
customer,Desconocida,0,1,2025-11-27T20:55:19.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
TTN,Desconocida,0,1,2025-12-01T19:23:27.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
ROCIO ALBERTI,Desconocida,0,1,2025-12-02T09:27:11.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Fernando Benjumea,Desconocida,0,1,2025-11-30T08:19:58.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Loly Castillo,Desconocida,0,1,2025-12-03T22:08:42.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
cesar gotor,Desconocida,0,1,2025-11-30T19:09:03.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Cararil Lion,Desconocida,0,1,2025-12-12T14:33:37.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
DOMINGO,Desconocida,0,2,2025-11-27T19:27:24.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Javi,Desconocida,0,1,2025-12-12T22:22:03.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
David,Desconocida,0,1,2025-12-18T19:54:18.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Fernando Jimenez,Desconocida,0,1,2025-12-04T00:44:23.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Pixi,Desconocida,0,1,2025-12-04T19:27:50.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
Baldo Cano,Desconocida,0,1,2025-12-09T21:22:39.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
User,Desconocida,0,1,2025-12-01T20:49:35.000Z,Sin título,Texto no disponible,2025-12-22 14:23:44,Sin título,titulo,Sin título,titulo,sin titulo,titulo,"['sin', 'titulo']",['titulo'],1,1,19,1,0,0.0,0.0,Neutral,neutral,6,Nuevo (1)
