palabra,frecuencia
texto,60
disponible,60
cliente,39
atencion,33
dias,33
entrega,30
dicen,27
comprado,24
dia,24
pedido,21
dos,18
servicio,18
despues,18
devolucion,18
compre,18
compra,15
llevo,15
paquete,15
entregado,12
suscripcion,12
productos,12
nunca,12
cuenta,12
mal,12
pago,12
nadie,12
dice,12
pongo,12
funciona,12
recibido,12
pedidos,12
contacto,12
empresa,12
vendedor,12
prime,9
imposible,9
llamar,9
q,9
c,9
aun,9
compro,9
puedo,9
hecho,9
tarjeta,9
tres,9
diciembre,9
hacen,9
reembolso,9
dni,9
poner,9
