usuario,ubicacion,total_resenas_usuario,puntuacion,fecha,titulo,texto_comentario,fecha_sistema
Xavier,Desconocida,0,,2026-01-15T17:59:38.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Luis Barbeito,Desconocida,0,,2026-01-15T00:46:11.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Elena Torres,Desconocida,0,,2026-01-14T12:36:39.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
silvia martinez,Desconocida,0,,2026-01-07T01:33:04.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Loly Castillo,Desconocida,0,,2026-01-12T20:34:43.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
DANIEL SANCHEZ MARIN,Desconocida,0,,2026-01-06T01:38:31.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Francisco Lopez,Desconocida,0,,2026-01-09T21:44:29.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
nathaniel walters,Desconocida,0,,2026-01-11T21:34:00.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Aitor,Desconocida,0,,2026-01-08T14:50:22.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
David,Desconocida,0,,2026-01-04T23:46:10.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Rosa,Desconocida,0,,2026-01-01T16:42:17.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Fataky,Desconocida,0,,2026-01-14T16:55:32.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Niev,Desconocida,0,,2026-01-08T10:25:35.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
DANIEL C.,Desconocida,0,,2026-01-07T13:44:59.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
María,Desconocida,0,,2026-01-09T19:56:36.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
John,Desconocida,0,,2025-12-26T15:57:17.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Elena Cagigas,Desconocida,0,,2026-01-09T22:23:34.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
francisco jose,Desconocida,0,,2026-01-10T21:14:29.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Rosario López,Desconocida,0,,2025-12-26T23:04:14.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Benjamin Garrido Ruano,Desconocida,0,,2026-01-13T15:42:29.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Fran,Desconocida,0,,2025-12-23T06:05:02.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Tona Giralt Vert,Desconocida,0,,2025-12-27T21:34:51.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Francesc Homar Borras,Desconocida,0,,2025-12-22T23:29:21.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Juvenal Soto,Desconocida,0,,2025-12-27T07:27:30.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Mdem Dry,Desconocida,0,,2026-01-09T21:14:40.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
rober vilaboy,Desconocida,0,,2026-01-05T23:48:14.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Luis Salvador,Desconocida,0,,2025-12-23T15:53:15.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
BG gonli,Desconocida,0,,2025-12-31T18:43:32.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
David Silva López,Desconocida,0,,2025-12-22T18:19:37.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Raul b.,Desconocida,0,,2026-01-05T10:21:53.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Pilar Almajano,Desconocida,0,,2026-01-12T21:17:23.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Eva  Garat,Desconocida,0,,2026-01-10T20:13:32.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Oscar Moya Lopez,Desconocida,0,,2026-01-11T16:57:25.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
María teresa,Desconocida,0,,2025-12-31T23:08:05.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Pau,Desconocida,0,,2026-01-11T12:17:57.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
روبرتو,Desconocida,0,,2026-01-10T15:33:31.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Margarita Rubio del Pozo,Desconocida,0,,2026-01-15T00:09:18.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Lordosaka,Desconocida,0,,2026-01-10T11:51:58.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Michi Guarni,Desconocida,0,,2026-01-01T13:22:20.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Anon,Desconocida,0,,2025-12-31T14:58:43.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
sara rodriguez,Desconocida,0,,2026-01-04T23:51:30.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Pilar Jiménez,Desconocida,0,,2026-01-02T14:35:40.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Toni Contreras,Desconocida,0,,2025-12-26T13:35:38.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Matilde Campos Vivas,Desconocida,0,,2026-01-06T12:08:43.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
La Abuela Cebolleta Vida sana,Desconocida,0,,2026-01-04T22:11:34.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
JuanCL,Desconocida,0,,2026-01-03T18:54:29.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Ana Echevarria,Desconocida,0,,2025-12-23T13:43:42.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
la posada de hogsmeade,Desconocida,0,,2025-12-13T14:46:05.000Z,Sin título,Texto no disponible,2026-01-18 22:58:28
Veronica Albert Perez,ES,7opiniones,,2026-01-18T21:03:27.000Z,AMAZON ENGAÑA AL CLIENTE,Texto no disponible,2026-01-18 22:58:28
プラクシーエルゴ（Erugo Purakushi）,ES,1opinión,,2026-01-18T12:46:12.000Z,¿Control de estupefacientes ilegal por repartidores? Sabotaje con arma blanca en Amazon Locker.,Texto no disponible,2026-01-18 22:58:28
daniel bodea,ES,20opiniones,,2026-01-17T18:27:38.000Z,unos mentirosos,Texto no disponible,2026-01-18 22:58:28
Mihaela Colcea,ES,3opiniones,,2026-01-17T17:32:39.000Z,Van de mal en peor,Texto no disponible,2026-01-18 22:58:28
fernando forte mora,ES,36opiniones,,2026-01-17T16:55:41.000Z,"Ya no es lo que era,no creáis nada de…",Texto no disponible,2026-01-18 22:58:28
Tere,ES,1opinión,,2026-01-16T08:28:55.000Z,Ya no son lo q eran,Texto no disponible,2026-01-18 22:58:28
Mónica Vega,ES,8opiniones,,2026-01-10T18:30:46.000Z,Pedido realizado el 4 de enero de 2026,Texto no disponible,2026-01-18 22:58:28
Kimberley Harrison,ES,4opiniones,,2026-01-10T17:25:32.000Z,Llevo muchisimos años con Amazon.es y…,Texto no disponible,2026-01-18 22:58:34
Iban,ES,5opiniones,,2026-01-09T23:09:45.000Z,Engañan con la entrega urgente,Texto no disponible,2026-01-18 22:58:34
Sumesa,ES,2opiniones,,2026-01-08T14:04:47.000Z,Son los mejores,Texto no disponible,2026-01-18 22:58:34
JM,ES,5opiniones,,2026-01-07T20:50:55.000Z,NO LE PONGO UN CERO PORQUE NO SE…,Texto no disponible,2026-01-18 22:58:34
Javier Nistal Gismero,ES,3opiniones,,2026-01-06T12:50:31.000Z,"Atención al cliente pésima ,te engañan…",Texto no disponible,2026-01-18 22:58:34
ivan guerraojeda,ES,7opiniones,,2026-01-06T06:38:29.000Z,Cada vez tienen peor servicio y les da…,Texto no disponible,2026-01-18 22:58:34
Pol,ES,3opiniones,,2026-01-05T15:09:28.000Z,"cada día peor, caros y lentos",Texto no disponible,2026-01-18 22:58:34
Juan Antonio Sorroche Sanchez,ES,1opinión,,2026-01-03T15:41:50.000Z,"Compro un el smartwatch Huawei watch D2…,para un regalo de navidad y no hay manera de que me hagan el reembolso😡😡😡",Texto no disponible,2026-01-18 22:58:39
Javier,ES,13opiniones,,2025-12-31T20:12:00.000Z,"Muy buena, pero va perdiendo su esencia",Texto no disponible,2026-01-18 22:58:39
Santiago Vidales Gonzalez,ES,72opiniones,,2025-12-30T17:44:03.000Z,"Nunca problemas,y si los tengo me los…",Texto no disponible,2026-01-18 22:58:39
Daniel,ES,2opiniones,,2025-12-29T11:22:48.000Z,Esta destruyendo todo el comercio…,Texto no disponible,2026-01-18 22:58:39
David Morales,ES,1opinión,,2025-12-28T16:40:46.000Z,Mas de 1 mes esperando para una…,Texto no disponible,2026-01-18 22:58:39
User,GB,19opiniones,,2025-12-27T11:18:01.000Z,Tengo que pagar gastos de envio,Texto no disponible,2026-01-18 22:58:39
Cliente,ES,7opiniones,,2025-12-26T22:58:56.000Z,Son una vergüenza,Texto no disponible,2026-01-18 22:58:39
